文件名,解析时间(ms),内存使用(KB),AST节点数量,结果
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E1.smt2,29.72,640,11638,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10.smt2,6.45,384,1422,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E11.smt2,17.69,512,5852,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E12.smt2,54.71,1024,19807,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E13.smt2,55.94,1024,23368,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E14.smt2,336.94,4096,156234,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E15.smt2,55.42,1152,19824,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E16.smt2,360,4096,160097,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E17.smt2,337.94,3536,144205,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E18.smt2,341.6,3596,136856,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E19.smt2,358.19,4224,146380,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E20.smt2,44.65,640,15424,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E21.smt2,35.19,640,11215,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E22.smt2,342.73,3012,107094,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E23.smt2,220,2816,90080,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E24.smt2,311.78,3840,125974,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E25.smt2,297.53,3456,122158,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E26.smt2,272.1,2944,105455,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E27.smt2,70.81,1024,22932,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E10E28.smt2,282.25,3164,109558,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E11.smt2,3.85,256,11,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E11E12.smt2,27.52,640,11592,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E11E13.smt2,39.86,640,14098,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E11E14.smt2,35.46,640,13554,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E11E15.smt2,34.67,640,11608,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E11E16.smt2,5.63,256,582,成功
/mnt/d/D_Study/ISCAS/projects/SMT/Parser_Comparison/../benchmarks/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E11E17.smt2,13.03,384,4094,成功
