metric,competitor,n_common_ok,pct_smtparser_better,median_ratio,mean_log10_ratio,timeout_only_competitor,timeout_only_smtparser,both_timeout
time_ms,z3,1595,11.7,0.5646,-0.2793,5,0,0
time_ms,cvc5,1204,55.1,1.5775,0.0105,2,0,0
time_ms,smt-switch,602,59.0,1.9469,0.2578,3,0,0
time_ms,pysmt,1202,36.5,0.4731,-0.2499,2,0,0
time_ms,antlr4,1576,98.0,17.0969,1.1458,0,0,0
time_ms,jsmtlib,1457,97.5,31.5332,1.3535,7,0,0
memory_mb,z3,1595,4.1,0.4468,-0.3204,5,0,0
memory_mb,cvc5,1204,43.3,0.9850,0.0468,2,0,0
memory_mb,smt-switch,602,84.9,1.0942,0.1183,3,0,0
memory_mb,pysmt,1203,99.4,1.2142,0.0844,2,0,0
memory_mb,antlr4,1576,12.4,0.2899,-0.3922,0,0,0
memory_mb,jsmtlib,1457,2.3,0.1203,-0.7100,7,0,0
ast_nodes,z3,1595,89.6,1.2885,0.1740,5,0,0
ast_nodes,cvc5,1204,48.0,1.0000,0.0186,2,0,0
ast_nodes,smt-switch,596,77.3,1.0851,0.1014,3,0,0
ast_nodes,pysmt,1203,77.5,1.0216,0.0644,2,0,0
ast_nodes,antlr4,1576,100.0,19.5197,1.3574,0,0,0
ast_nodes,jsmtlib,1457,95.2,2.1538,0.2566,7,0,0
