=== Summary table (instance-level, both success only for ratios) ===

--- Metric: time_ms ---
competitor	n_common_ok	pct_SMTParser_better	median_ratio	mean_log10_ratio	timeout_only_competitor	timeout_only_SMTParser	both_timeout
z3	1595	11.7%	0.565	-0.279	5	0	0
cvc5	1204	55.1%	1.578	0.011	2	0	0
smt-switch	602	59.0%	1.947	0.258	3	0	0
pysmt	1202	36.5%	0.473	-0.250	2	0	0
antlr4	1576	98.0%	17.097	1.146	0	0	0
jsmtlib	1457	97.5%	31.533	1.353	7	0	0

--- Metric: memory_mb ---
competitor	n_common_ok	pct_SMTParser_better	median_ratio	mean_log10_ratio	timeout_only_competitor	timeout_only_SMTParser	both_timeout
z3	1595	4.1%	0.447	-0.320	5	0	0
cvc5	1204	43.3%	0.985	0.047	2	0	0
smt-switch	602	84.9%	1.094	0.118	3	0	0
pysmt	1203	99.4%	1.214	0.084	2	0	0
antlr4	1576	12.4%	0.290	-0.392	0	0	0
jsmtlib	1457	2.3%	0.120	-0.710	7	0	0

--- Metric: ast_nodes ---
competitor	n_common_ok	pct_SMTParser_better	median_ratio	mean_log10_ratio	timeout_only_competitor	timeout_only_SMTParser	both_timeout
z3	1595	89.6%	1.288	0.174	5	0	0
cvc5	1204	48.0%	1.000	0.019	2	0	0
smt-switch	596	77.3%	1.085	0.101	3	0	0
pysmt	1203	77.5%	1.022	0.064	2	0	0
antlr4	1576	100.0%	19.520	1.357	0	0	0
jsmtlib	1457	95.2%	2.154	0.257	7	0	0
