metric,competitor,N_common,pct_better,median_ratio,mean_log10_ratio,timeout_only_smtparser,timeout_only_competitor,timeout_both
time_ms,Z3,1595,11.6614,0.5646,-0.2793,0,5,0
time_ms,cvc5,1204,55.0664,1.5538,0.0105,0,0,0
time_ms,smt_switch,602,58.9701,1.9419,0.2578,0,0,0
time_ms,pysmt,1202,36.5225,0.4714,-0.2499,0,2,0
time_ms,antlr4,1576,98.033,17.0919,1.1458,0,0,0
time_ms,jsmtlib,1457,97.5292,31.5332,1.3535,0,7,0
memory_mb,Z3,1595,4.0752,0.4468,-0.3204,0,5,0
memory_mb,cvc5,1204,43.2724,0.985,0.0468,0,0,0
memory_mb,smt_switch,602,84.8837,1.0942,0.1183,0,0,0
memory_mb,pysmt,1202,99.4176,1.2142,0.0845,0,2,0
memory_mb,antlr4,1576,12.3731,0.2899,-0.3922,0,0,0
memory_mb,jsmtlib,1457,2.2649,0.1203,-0.71,0,7,0
ast_nodes,Z3,1595,89.5925,1.2885,0.174,0,5,0
ast_nodes,cvc5,1204,48.0066,1.0,0.0186,0,0,0
ast_nodes,smt_switch,602,76.5781,1.0804,0.1014,0,0,0
ast_nodes,pysmt,1202,77.4542,1.0216,0.0644,0,2,0
ast_nodes,antlr4,1576,100.0,19.4906,1.3574,0,0,0
ast_nodes,jsmtlib,1457,95.1956,2.1538,0.2566,0,7,0
